# java PerformanceTest.java
0 0.007971
1 0.005898
2 0.004218
3 0.010085
4 0.003616
5 0.004296
6 0.020505
7 0.004872
8 0.003884
9 0.006105
10 0.007240
11 0.006175
12 0.010114
13 0.028263
14 0.006271
15 0.011766
16 0.010151
17 0.011113
18 0.012313
19 0.017107
20 0.014627
21 0.012901
22 0.019458
23 0.021634
24 0.018391
25 0.026742
26 0.023026
27 0.103906
28 0.007179
29 0.051713
30 0.009140
31 0.009651
32 0.007984
33 0.010141
34 0.011120
35 0.007543
36 0.018567
37 0.018227
38 0.014843
39 0.012286
40 0.017046
41 0.035607
42 0.017175
43 0.038685
44 0.016090
45 0.012658
46 0.015609
47 0.013525
48 0.014254
49 0.017584
50 0.016109
51 0.021554
52 0.022107
53 0.027403
54 0.021275
55 0.143289
56 0.014775
57 0.012139
58 0.017879
59 0.014334
60 0.015449
61 0.017486
62 0.017061
63 0.019285
64 0.023704
65 0.024926
66 0.019886
67 0.024827
68 0.025639
69 0.026084
70 0.028425
71 0.029131
72 0.028428
73 0.048732
74 0.046424
75 0.058582
76 0.041880
77 0.054329
78 0.053421
79 0.015602
80 0.014699
81 0.014392
82 0.018866
83 0.028861
84 0.015520
85 0.020041
86 0.019078
87 0.021239
88 0.021466
89 0.021494
90 0.032701
91 0.026431
92 0.024023
93 0.036911
94 0.030827
95 0.026978
96 0.031497
97 0.037856
98 0.037448
99 0.037306
Performance tests passed!
